,ville_code_commune,duration_toulouse,distance_toulouse,base_duration_toulouse
0,09045,5796,104006,5605
1,09098,5818,91446,5676
2,09302,6938,121621,6814
3,09327,5291,87831,5174
4,09310,3786,62644,3595
5,09021,5266,80957,5089
6,09313,4791,80574,4724
7,09245,5141,78555,5004
8,09052,5292,88504,5210
9,09168,5726,94784,5609
10,09329,5125,85668,4993
11,09320,7000,116883,6889
12,09124,3920,65186,3714
13,09151,4483,73132,4287
14,09063,6366,103323,6263
15,09083,4398,71242,4202
16,09211,6860,118926,6669
17,09048,6191,102462,6124
18,09118,6743,99367,6525
19,09159,6666,118260,6434
20,09119,5530,105760,5311
21,09284,4928,81230,4769
22,09107,5412,87142,5338
23,09050,4844,75981,4652
24,09326,7124,117055,7021
25,09173,5191,78842,4872
26,09041,4049,86003,3902
27,09242,6507,101066,6441
28,09312,4330,70207,4084
29,09154,6149,92920,5902
30,09263,6221,119195,6114
31,09080,5542,92965,5426
32,09111,5764,110316,5516
33,09001,5457,77547,5247
34,09056,4409,66361,4204
35,09198,5055,81621,4826
36,09321,5941,104943,5769
37,09281,5803,95714,5686
38,09171,7248,119371,7151
39,09207,5193,90909,5065
40,09128,5103,102688,4892
41,09301,6451,120621,6187
42,09120,3861,75431,3772
43,09035,6354,116425,6136
44,09147,3078,48567,2931
45,09140,7872,134595,7636
46,09253,4683,69596,4560
47,09260,5305,79174,5238
48,09167,2982,51574,2807
49,09304,6176,93044,5939
50,09201,5389,104156,5173
51,09033,4693,87304,4629
52,09252,9907,157799,9855
53,09238,4833,76131,4698
54,09127,5237,77310,4998
55,09276,5098,77247,4984
56,09210,5285,94895,5113
57,09090,4932,82348,4657
58,09146,3809,60013,3670
59,09234,5374,91048,5228
60,09075,4525,72995,4351
61,09003,6527,106389,6432
62,09209,5425,105567,5201
63,09093,5512,96777,5322
64,09129,6064,117158,5958
65,09032,7465,129756,7253
66,09084,4281,70484,4087
67,09189,7689,137349,7404
68,09064,7127,116138,7028
69,09179,4954,82894,4796
70,09053,7192,126402,6970
71,09046,4196,79183,4115
72,09034,7057,126152,6791
73,09150,6017,98723,5946
74,09178,5917,96925,5849
75,09009,6218,92824,6003
76,09342,3617,59740,3411
77,09091,4729,95228,4593
78,09305,6475,104516,6448
79,09110,5722,108386,5512
80,09182,7245,131560,6973
81,09195,4715,78162,4457
82,09185,3791,57579,3676
83,09012,7266,118349,7167
84,09249,5922,103218,5712
85,09247,6158,114672,5968
86,09026,6328,117651,6067
87,09267,5941,114975,5829
88,09156,6511,112856,6325
89,09314,5167,82542,5055
90,09186,4227,70077,4032
91,09103,4737,80390,4503
92,09223,6516,120872,6244
93,09106,6480,104889,6386
94,09055,7087,127764,6806
95,09236,5451,97044,5279
96,09202,4941,80923,4686
97,09114,6087,112806,5893
98,09137,5327,88633,5203
99,09017,6557,120670,6273
100,09212,5696,90745,5480
