,ville_code_commune,duration_toulouse,distance_toulouse,base_duration_toulouse
0,09045,4553,105567,4299
1,09098,5667,89367,5400
2,09302,5779,123182,5508
3,09327,4036,89357,3838
4,09310,3508,61649,3322
5,09021,4432,88860,4199
6,09313,4827,79838,4610
7,09245,3864,80116,3698
8,09052,4003,89457,3807
9,09168,4523,97008,4326
10,09329,3907,89282,3706
11,09320,5832,116790,5606
12,09124,3657,64191,3441
13,09151,4231,72137,4014
14,09063,5156,104884,4957
15,09083,4147,70247,3929
16,09211,5688,120452,5333
17,09048,4922,103984,4712
18,09118,5777,114537,5490
19,09159,5473,119821,5128
20,09119,5276,104765,5038
21,09284,3639,82756,3433
22,09107,4136,91012,3958
23,09050,3524,77542,3346
24,09326,5955,116962,5738
25,09173,3962,91270,3739
26,09041,3744,85008,3629
27,09242,5734,118254,5408
28,09312,2923,71768,2778
29,09154,5295,109295,4998
30,09263,6069,118200,5841
31,09080,4313,94491,4090
32,09111,5536,109321,5243
33,09001,4982,102468,4778
34,09056,3453,75098,3268
35,09198,4823,80626,4553
36,09321,4733,106504,4463
37,09281,4611,97933,4408
38,09171,6249,127460,5873
39,09207,3969,92470,3759
40,09128,4872,101693,4619
41,09301,6284,119626,5914
42,09120,3580,74436,3499
43,09035,6140,115430,5863
44,09147,3105,48567,2931
45,09140,6730,136598,6311
46,09253,4355,74220,4127
47,09260,3851,81056,3649
48,09167,2695,50579,2534
49,09304,5330,109419,5035
50,09201,5127,103161,4900
51,09033,4443,86309,4356
52,09252,9270,163939,8898
53,09238,3520,80001,3323
54,09127,4963,104506,4680
55,09276,3881,81107,3720
56,09210,4066,96456,3807
57,09090,4170,94588,3927
58,09146,3855,60013,3670
59,09234,4158,92609,3922
60,09075,4267,72000,4078
61,09003,5540,118537,5160
62,09209,5186,104572,4928
63,09093,4283,98338,4016
64,09129,5899,116163,5685
65,09032,6333,131317,5947
66,09084,4034,69489,3814
67,09189,6521,138910,6098
68,09064,5983,116045,5745
69,09179,3703,84455,3490
70,09053,6053,127963,5664
71,09046,3911,78188,3842
72,09034,6885,125157,6518
73,09150,4745,100245,4534
74,09178,4482,89090,4302
75,09009,5380,109199,5099
76,09342,3341,58745,3138
77,09091,4478,94003,4324
78,09305,5247,107000,5010
79,09110,5484,107391,5239
80,09182,6768,133276,6356
81,09195,4480,77167,4184
82,09185,2885,61826,2757
83,09012,6115,118256,5884
84,09249,4694,104779,4406
85,09247,5947,113677,5695
86,09026,6133,116656,5794
87,09267,5759,113980,5556
88,09156,5312,114417,5019
89,09314,3876,86412,3675
90,09186,3976,69082,3759
91,09103,3402,81951,3197
92,09223,6321,119877,5971
93,09106,5540,116504,5195
94,09055,6938,126769,6533
95,09236,4236,98605,3973
96,09202,4484,98237,4221
97,09114,5865,111811,5620
98,09137,4191,86940,4009
99,09017,6373,119675,6000
100,09212,5520,88427,5258
101,09006,4933,110363,4659
102,09331,2999,64262,2885
103,09226,5174,114703,4864
104,09117,3639,73066,3510
105,09283,6096,129221,5690
106,09163,4043,82679,3845
107,09241,4423,105193,4152
108,09194,4298,93017,4103
109,09030,5458,120055,5180
110,09065,6478,130754,6076
111,09152,5012,110625,4740
112,09220,6594,136446,6236
113,09060,3010,65474,2884
114,09172,3508,61649,3322
115,09266,4587,94728,4348
116,09074,5075,105674,4844
117,09206,5390,114628,5035
118,09042,5154,107577,4840
119,09007,5743,89556,5554
120,09037,4047,81867,3977
121,09139,6995,147093,6524
122,09061,4507,75164,4323
123,09188,4741,106271,4470
124,09224,4246,73342,3977
125,09059,6598,123470,6234
126,09338,3537,63076,3329
127,09162,5714,118592,5442
128,09164,5442,110061,5183
129,09072,3869,86675,3664
130,09125,6173,125911,5768
131,09287,5478,113099,5226
132,09215,4713,106213,4398
133,09094,3773,74028,3700
134,09028,5269,114839,4965
135,09066,4634,96805,4395
136,09013,4081,91603,3849
137,09282,2907,62315,2795
138,09291,6577,121829,6247
139,09272,4015,94982,3747
140,09068,5957,106737,5737
141,09109,3511,55097,3318
142,09051,5477,115802,5116
143,09205,4556,73576,4385
144,09089,4415,90007,4219
145,09250,5219,108421,4928
146,09132,3427,71117,3283
147,09115,5467,108407,5221
148,09244,3727,83172,3520
149,09039,4596,96613,4378
150,09232,7351,146268,6862
151,09071,4761,99824,4516
152,09100,7062,130600,6699
153,09274,4723,98648,4496
154,09133,4943,110363,4659
155,09330,6262,127460,5873
156,09308,4678,98469,4429
157,09023,6903,136054,6502
158,09251,4540,91573,4348
159,09076,3227,68112,3107
160,09145,3744,82291,3557
161,09324,3726,80656,3530
162,09174,3745,85816,3517
163,09155,5904,119650,5587
164,09323,3589,81459,3379
165,09121,4247,98605,3973
166,09044,4490,97661,4240
167,09298,6697,136096,6279
168,09029,7159,132945,6716
169,09047,5927,122295,5506
170,09166,5125,107734,4827
171,09217,4943,110363,4659
172,09261,5104,102630,4845
173,09122,4079,89919,3840
174,09268,4818,100087,4576
175,09216,5323,108242,5017
176,09160,5302,114233,4954
177,09255,3823,79895,3629
178,09208,4929,101034,4680
179,09057,6660,126353,6279
180,09264,3564,82899,3352
181,09105,3927,67812,3741
182,09290,6868,126087,6501
183,09073,4749,82388,4495
184,09020,9475,168020,9138
185,09180,4101,89600,3906
186,09294,3711,65398,3484
187,09148,3903,86756,3757
188,09040,3460,73062,3313
189,09316,4879,100547,4654
190,09271,4005,83374,3820
191,09335,6245,118421,5882
192,09341,3989,88168,3800
193,09088,5602,114391,5350
194,09332,3508,75390,3332
195,09237,9591,168391,9260
196,09293,4659,97952,4424
197,09019,3995,69275,3748
198,09165,5801,120673,5401
199,09258,3516,80592,3312
200,09319,3968,82000,3778
201,09058,4394,102311,4109
202,09285,6294,120499,5959
203,09002,4970,103519,4734
204,09143,5018,113747,4726
205,09225,3384,71941,3244
206,09070,5111,114482,4773
207,09259,3882,77885,3736
208,09328,5270,114839,4965
209,09031,6256,127460,5873
210,09131,5505,120908,5115
211,09018,5993,113067,5693
212,09038,3607,62742,3432
213,09157,5206,106502,4956
214,09054,3893,79988,3750
215,09292,5763,115490,5451
216,09228,6447,132898,6072
217,09273,4384,93757,4144
218,09190,4461,76790,4207
219,09325,6344,131856,5951
220,09193,9403,166370,9057
221,09095,6094,114813,5770
222,09265,3530,76554,3348
223,09116,3697,78666,3501
224,09175,3506,78708,3339
225,09016,4649,105765,4374
226,09077,4933,110474,4649
227,09231,6921,136183,6509
228,09286,5667,122316,5374
229,09092,4993,109305,4717
230,09138,4697,98445,4439
231,09082,5503,114151,5144
232,09233,5100,100172,4922
233,09280,5000,110368,4673
234,09102,4078,90159,3856
235,09081,3499,78920,3321
236,09161,5257,106731,4997
237,09104,3803,81741,3594
238,09079,3919,67745,3704
239,09141,6320,121242,6106
240,09257,4061,70428,3853
241,09049,4788,97798,4535
242,09177,4073,84389,3850
243,09297,6279,117535,5963
244,09069,6619,123356,6412
245,09221,5065,110756,4776
246,09322,7204,132386,6806
247,09184,4607,79642,4353
248,09169,4784,97029,4600
249,09243,5375,105848,5131
250,09307,4345,94587,4098
251,09078,9401,166201,8985
252,09149,5670,107699,5414
253,09296,4832,110848,4514
254,09336,5256,113597,4900
255,09200,5934,117590,5669
256,09318,5649,122237,5246
257,09289,4631,98276,4381
258,09005,6543,121801,6195
259,09108,5677,115117,5329
260,09270,3907,70215,3697
261,09203,4914,103962,4610
262,09153,3882,77885,3736
263,09199,2903,63229,2787
264,09022,3754,83426,3560
265,09256,3816,80112,3629
266,09181,4692,78496,4481
267,09135,5751,123006,5459
268,09309,3759,84803,3554
269,09187,4345,94587,4098
270,09134,5762,116732,5473
271,09099,4281,93611,4037
272,09227,5631,117854,5255
273,09317,6668,123318,6309
274,09299,6033,116329,5670
275,09204,5311,88176,4991
276,09197,7357,146305,6869
277,09085,5839,113081,5495
278,09043,5565,110242,5278
279,09213,4580,91573,4348
280,09315,3324,70365,3193
281,09130,4488,94143,4198
282,09239,9569,168803,9226
283,09176,5668,122237,5246
284,09004,5647,119912,5257
285,09262,5507,116009,5132
286,09192,5452,114136,5142
287,09170,3152,48849,2973
288,09219,6081,118200,5841
289,09062,6164,117602,5768
290,09235,4118,89314,3946
291,09214,5468,107455,5172
292,09340,4019,86625,3813
293,09024,5440,116447,5093
294,09279,8451,134740,8228
295,09158,4655,78910,4424
296,09067,3406,69649,3282
297,09126,4880,103958,4581
298,09303,4621,103432,4326
299,09096,5213,114703,4864
300,09142,4639,96835,4376
301,09254,3527,78708,3339
302,09025,6141,118011,5741
303,09230,8706,161911,8260
304,09334,5313,118843,5020
305,09306,4445,104367,4136
306,09011,7106,127382,6760
307,09015,4314,101642,4039
308,09229,5594,112127,5331
309,09196,5666,113413,5331
310,09277,3417,49966,3229
311,09008,6020,115001,5748
312,09183,4030,88110,3885
313,09101,3380,78265,3167
314,09097,5749,90345,5463
315,09246,5853,93172,5594
316,09027,5922,116163,5685
317,09113,7091,128953,6711
318,09222,5841,121227,5527
319,09300,4776,101267,4551
320,09086,4358,94631,4105
321,09339,2946,69851,2781
322,09269,4524,95296,4258
323,09014,6183,117496,5803
324,09136,4801,108533,4505
325,09240,4445,104367,4136
326,09311,6451,132898,6072
327,09087,6033,126985,5617
328,09295,5306,115160,4997
329,09218,6996,138191,6662
330,09275,3152,48849,2973
331,09123,3700,63175,3526
332,11383,3387,57841,3229
333,11179,5797,126410,5547
334,11372,5256,112653,4887
335,11073,6586,123996,6299
336,11382,3467,56827,3295
337,11074,3192,55010,3064
338,11146,4665,109107,4343
339,11420,5306,111553,5018
340,11386,6193,146586,5758
341,11396,5709,119810,5385
342,11104,8925,155910,8509
343,11056,5762,119451,5464
344,11356,3225,66537,2976
345,11415,5281,111858,4976
346,11247,5579,109880,5250
347,11105,5327,106357,4949
348,11100,4954,95938,4734
349,11094,5977,123579,5792
350,11125,7255,164299,6858
351,11168,6582,127078,6267
352,11230,8092,147670,7717
353,11362,3397,55021,3234
354,11432,3782,81625,3476
355,11407,3988,76282,3717
356,11193,3785,81302,3483
357,11155,7816,141950,7561
358,11070,3922,76408,3639
359,11440,5787,126410,5547
360,11033,3271,69594,3143
361,11040,6363,151960,5977
362,11126,5743,128736,5415
363,11192,3364,68733,3113
364,11136,3637,80671,3302
365,11351,5769,140289,5277
366,11085,4379,98732,4058
367,11366,6307,140239,6087
368,11309,6243,121062,5958
369,11119,5508,108939,5143
370,11019,7810,147743,7549
371,11222,5910,122207,5573
372,11008,5912,113729,5621
373,11069,4188,95310,3893
374,11401,7639,174030,7286
375,11353,6682,162915,6113
376,11304,6901,131079,6561
377,11116,6548,162995,5988
378,11387,5735,125868,5459
379,11328,4542,95140,4232
380,11413,5287,112740,4892
381,11016,5362,122060,5029
382,11296,6180,138794,5948
383,11170,6994,167281,6401
384,11280,6176,130881,5976
385,11059,3957,86092,3640
386,11441,6348,159950,5797
387,11117,6991,159536,6498
388,11213,7427,166346,7020
389,11260,7487,167634,7041
