objectid;id_rte500;nature;toponyme;type;codeuic;region;departement;date_maj;geo_shape;geo_point_2d
1;1450;Gare de voyageurs;Fontpédrouse-Saint-Thomas;halte ferroviaire;87784769;Occitanie;66;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.188606555723969, 42.51369740973698]}";42.5136974097,2.18860655572
9;1472;Gare de voyageurs;Campagnac-Saint-Geniez;halte ferroviaire;87783340;Occitanie;12;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [3.0661581695587152, 44.42213724887701]}";44.4221372489,3.06615816956
12;1556;Gare de voyageurs;Serdinya;halte ferroviaire;87784702;Occitanie;66;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.323017212100557, 42.56702896005731]}";42.5670289601,2.3230172121
16;1595;Gare de voyageurs et de fret;Colomiers;gare avec accueil du public;87611467;Occitanie;31;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.334038513896104, 43.60326939335566]}";43.6032693934,1.3340385139
17;1600;Gare de voyageurs;Aimargues;halte ferroviaire;87775833;Occitanie;30;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [4.20897947655417, 43.67869180781053]}";43.6786918078,4.20897947655
21;1611;Gare de voyageurs;Dégagnac;halte ferroviaire;87613174;Occitanie;46;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.3400558043761421, 44.65363841468293]}";44.6536384147,1.34005580438
22;1711;Gare de voyageurs et de fret;Carcassonne;gare avec accueil du public;87615286;Occitanie;11;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.351474524920826, 43.218088391410795]}";43.2180883914,2.35147452492
33;1785;Gare de voyageurs;Bagnols-Chadenet;halte ferroviaire;87783647;Occitanie;48;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [3.628388116474934, 44.52854089295166]}";44.528540893,3.62838811647
36;1883;Gare de voyageurs;Nozières-Brignon;halte ferroviaire;87775353;Occitanie;30;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [4.208031213416389, 43.97541235712482]}";43.9754123571,4.20803121342
42;1929;Gare de voyageurs et de fret;Sévérac-d'Aveyron;gare avec accueil du public;87783365;Occitanie;12;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [3.05699347573181, 44.32458967859722]}";44.3245896786,3.05699347573
44;1939;Gare de voyageurs;Saint-Denis-près-Martel;gare avec accueil du public;87594572;Occitanie;46;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.666506113106152, 44.94609062139621]}";44.9460906214,1.66650611311
46;2064;Gare de voyageurs;L'Isle-Jourdain;gare avec accueil du public;87611806;Occitanie;32;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.08970450764238, 43.61731141961547]}";43.6173114196,1.08970450764
50;2087;Gare de voyageurs;Couffoulens-Leuc;halte ferroviaire;87615120;Occitanie;11;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.316117222747656, 43.15544627897059]}";43.155446279,2.31611722275
51;2088;Gare de voyageurs et de fret;Cazères-sur-Garonne;gare avec accueil du public;87611079;Occitanie;31;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.082328231024797, 43.21275999867374]}";43.2127599987,1.08232823102
53;2093;Gare de voyageurs;Damiatte-Saint-Paul;halte ferroviaire;87615484;Occitanie;81;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.974381193867186, 43.65618454164969]}";43.6561845416,1.97438119387
54;2096;Gare de voyageurs;Uchaud;halte ferroviaire;87775106;Occitanie;30;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [4.266479686025191, 43.75763374429259]}";43.7576337443,4.26647968603
63;2246;Gare de voyageurs;Villenouvelle;halte ferroviaire;87618215;Occitanie;31;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.660689669336231, 43.433396500806346]}";43.4333965008,1.66068966934
65;2249;Gare de voyageurs et de fret;Béziers;gare avec accueil du public;87781005;Occitanie;34;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [3.219040412086794, 43.33625404559826]}";43.3362540456,3.21904041209
68;2255;Gare de voyageurs;Aubiet;halte ferroviaire;87611764;Occitanie;32;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [0.7892317734464861, 43.65007159212097]}";43.6500715921,0.789231773446
71;2258;Gare de voyageurs;Saint-Aunès;halte ferroviaire;87773465;Occitanie;34;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [3.9633633390796152, 43.63538759149208]}";43.6353875915,3.96336333908
72;2261;Gare de voyageurs;Fenouillet-Saint-Alban;halte ferroviaire;87611962;Occitanie;31;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.401334114605584, 43.68432336673263]}";43.6843233667,1.40133411461
80;2394;Gare de voyageurs;Alet-les-Bains;halte ferroviaire;87615187;Occitanie;11;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.251545744246806, 42.997622015678104]}";42.9976220157,2.25154574425
81;2395;Gare de voyageurs et de fret;Port-la-Nouvelle;gare avec accueil du public;87781062;Occitanie;11;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [3.038693195902913, 43.0201753681655]}";43.0201753682,3.0386931959
82;2401;Gare de voyageurs;Toulouse-Matabiau;gare avec accueil du public;87611004;Occitanie;31;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.454005705037022, 43.61214504394223]}";43.6121450439,1.45400570504
111;2720;Gare de voyageurs;Err;halte ferroviaire;87784843;Occitanie;66;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.028510938024676, 42.44321114660124]}";42.4432111466,2.02851093802
117;2741;Gare de voyageurs;Limoux;gare avec accueil du public;87615161;Occitanie;11;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.222984685666414, 43.05727164148155]}";43.0572716415,2.22298468567
126;2943;Gare de voyageurs;Pins-Justaret;halte ferroviaire;87618116;Occitanie;31;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.400096556445312, 43.478612077876434]}";43.4786120779,1.40009655645
133;3015;Gare de voyageurs;Latour-de-Carol-Enveitg;gare avec accueil du public;87611483;Occitanie;66;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.90433730933107, 42.45901119917981]}";42.4590111992,1.90433730933
138;3039;Gare de voyageurs et de fret;Castres;gare avec accueil du public;87615468;Occitanie;81;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.231046873144585, 43.599064971713744]}";43.5990649717,2.23104687314
