id,INSEE,Nom,Voix,partis
0,31005,LE PEN,18.73,RN
10,31009,MACRON,25.93,LRM
20,31013,MACRON,24.91,LRM
30,31014,MACRON,27.38,LRM
40,31018,MÉLENCHON,21.7,FI
50,31021,MACRON,20.0,LRM
60,31023,MACRON,17.71,LRM
70,31028,MACRON,19.6,LRM
80,31030,MÉLENCHON,33.9,FI
90,31031,MACRON,24.66,LRM
100,31034,MÉLENCHON,30.11,FI
110,31038,MACRON,23.69,LRM
120,31039,MÉLENCHON,33.33,FI
130,31045,MÉLENCHON,21.17,FI
140,31047,MÉLENCHON,37.5,FI
150,31050,LE PEN,21.54,RN
160,31059,MÉLENCHON,21.57,FI
170,31065,LE PEN,22.47,RN
180,31066,LE PEN,19.17,RN
190,31071,LE PEN,28.57,RN
200,31076,LE PEN,24.55,RN
210,31083,MÉLENCHON,26.32,FI
220,31084,LE PEN,22.12,RN
230,31086,MÉLENCHON,26.19,FI
240,31094,MACRON,20.18,LRM
250,31095,MÉLENCHON,21.5,FI
260,31107,MÉLENCHON,19.99,FI
270,31110,MACRON,21.25,LRM
280,31112,LE PEN,25.49,RN
290,31114,MACRON,18.31,LRM
300,31124,LE PEN,22.79,RN
310,31131,MÉLENCHON,29.58,FI
320,31134,MÉLENCHON,33.85,FI
330,31135,LE PEN,19.41,RN
340,31143,LE PEN,18.15,RN
350,31147,LE PEN,25.19,RN
360,31153,LE PEN,20.57,RN
370,31155,MACRON,23.98,LRM
380,31158,LE PEN,16.33,RN
390,31159,LE PEN,28.39,RN
400,31167,MACRON,19.05,LRM
410,31174,MACRON,18.65,LRM
420,31175,MACRON,22.61,LRM
430,31183,MÉLENCHON,19.25,FI
440,31193,LE PEN,20.69,RN
450,31196,LE PEN,33.82,RN
460,31197,LE PEN,21.92,RN
470,31198,MÉLENCHON,20.0,FI
480,31208,MÉLENCHON,22.35,FI
490,31209,LE PEN,26.53,RN
500,31217,MACRON,17.81,LRM
510,31219,LE PEN,24.28,RN
520,31224,LE PEN,16.86,RN
530,31225,MACRON,21.17,LRM
540,31226,MÉLENCHON,26.58,FI
550,31229,LE PEN,22.12,RN
560,31237,MACRON,20.88,LRM
570,31238,MÉLENCHON,21.0,FI
580,31241,LE PEN,17.29,RN
590,31245,MACRON,21.31,LRM
600,31246,LE PEN,24.96,RN
610,31247,LE PEN,18.35,RN
620,31250,LE PEN,24.48,RN
630,31255,FILLON,17.61,LR
640,31258,MÉLENCHON,26.95,FI
650,31260,LE PEN,23.33,RN
660,31261,LE PEN,22.33,RN
670,31268,MÉLENCHON,26.32,FI
680,31270,MACRON,19.36,LRM
690,31274,LE PEN,23.64,RN
700,31278,MACRON,20.49,LRM
710,31280,MÉLENCHON,28.83,FI
720,31286,LE PEN,21.65,RN
730,31289,MACRON,27.05,LRM
740,31292,MÉLENCHON,27.27,FI
750,31294,LE PEN,28.95,RN
760,31296,MÉLENCHON,20.28,FI
770,31300,LE PEN,20.45,RN
780,31302,LE PEN,31.11,RN
790,31303,LE PEN,23.47,RN
800,31305,LE PEN,19.89,RN
810,31306,FILLON,18.1,LR
820,31308,MACRON,28.85,LRM
830,31311,LE PEN,23.97,RN
840,31312,MACRON,20.51,LRM
850,31313,MÉLENCHON,24.11,FI
860,31314,MÉLENCHON,20.97,FI
870,31315,LE PEN,18.02,RN
880,31317,MÉLENCHON,23.2,FI
890,31318,MÉLENCHON,21.12,FI
900,31321,MÉLENCHON,26.28,FI
910,31323,MACRON,23.26,LRM
920,31324,LE PEN,21.86,RN
930,31327,LE PEN,21.52,RN
940,31336,MÉLENCHON,22.7,FI
950,31344,LE PEN,22.9,RN
960,31346,MÉLENCHON,20.7,FI
970,31348,FILLON,23.21,LR
980,31349,LE PEN,20.18,RN
990,31357,MACRON,22.35,LRM
1000,31362,LE PEN,24.23,RN
1010,31367,LE PEN,23.53,RN
1020,31372,MÉLENCHON,19.85,FI
1030,31375,MÉLENCHON,20.59,FI
1040,31376,LE PEN,27.37,RN
1050,31379,LE PEN,24.8,RN
1060,31383,LE PEN,23.32,RN
1070,31386,LE PEN,24.0,RN
1080,31387,MÉLENCHON,28.57,FI
1090,31390,MÉLENCHON,18.7,FI
1100,31391,MACRON,21.71,LRM
1110,31406,LE PEN,21.58,RN
1120,31408,FILLON,18.39,LR
1130,31416,LE PEN,27.36,RN
1140,31422,LE PEN,27.37,RN
1150,31425,MÉLENCHON,25.99,FI
1160,31426,LE PEN,21.51,RN
1170,31427,LE PEN,21.03,RN
1180,31430,LE PEN,23.76,RN
1190,31435,LE PEN,24.29,RN
1200,31440,MACRON,29.09,LRM
1210,31449,MÉLENCHON,20.83,FI
1220,31452,MACRON,27.5,LRM
1230,31455,MÉLENCHON,19.88,FI
1240,31457,LE PEN,20.22,RN
1250,31459,MACRON,19.78,LRM
1260,31461,MÉLENCHON,26.99,FI
1270,31472,MACRON,18.47,LRM
1280,31474,LE PEN,25.85,RN
1290,31476,MÉLENCHON,20.03,FI
1300,31477,LE PEN,21.43,RN
1310,31483,MACRON,16.66,LRM
1320,31487,LE PEN,19.27,RN
1330,31492,LE PEN,27.91,RN
1340,31503,LE PEN,22.96,RN
1350,31504,MÉLENCHON,22.34,FI
1360,31505,MÉLENCHON,19.37,FI
1370,31509,MÉLENCHON,20.38,FI
1380,31513,MACRON,21.15,LRM
1390,31517,LE PEN,22.83,RN
1400,31523,MACRON,15.98,LRM
1410,31525,LE PEN,24.33,RN
1420,31529,MÉLENCHON,23.26,FI
1430,31530,LE PEN,22.45,RN
1440,31535,MACRON,19.3,LRM
1450,31536,MACRON,21.61,LRM
1460,31537,LE PEN,27.86,RN
1470,31539,FILLON,17.86,LR
1480,31542,LE PEN,19.59,RN
1490,31545,LE PEN,20.99,RN
1500,31550,MACRON,21.67,LRM
1510,31552,LE PEN,20.66,RN
1520,31554,LE PEN,17.73,RN
1530,31556,LE PEN,25.89,RN
1540,31564,MÉLENCHON,20.78,FI
1550,31565,MÉLENCHON,25.27,FI
1560,31577,MACRON,16.95,LRM
1570,31585,LE PEN,20.23,RN
1580,31586,LE PEN,20.68,RN
1590,31591,MACRON,22.62,LRM
1600,32002,MÉLENCHON,27.4,FI
1610,32012,MACRON,21.88,LRM
1620,32013,MACRON,20.89,LRM
1630,32014,LE PEN,25.0,RN
1640,32018,MÉLENCHON,25.79,FI
1650,32019,MACRON,22.03,LRM
1660,32040,LE PEN,25.44,RN
1670,32051,FILLON,21.43,LR
1680,32056,MÉLENCHON,25.64,FI
1690,32060,MÉLENCHON,22.93,FI
1700,32076,MÉLENCHON,25.28,FI
1710,32089,LE PEN,23.86,RN
1720,32091,MÉLENCHON,19.06,FI
1730,32092,LE PEN,30.68,RN
1740,32117,MACRON,24.24,LRM
1750,32123,LE PEN,19.32,RN
1760,32147,MACRON,18.73,LRM
1770,32157,MACRON,18.85,LRM
1780,32165,LE PEN,23.53,RN
1790,32182,MACRON,23.6,LRM
1800,32183,MACRON,24.12,LRM
1810,32200,MÉLENCHON,25.24,FI
1820,32201,MÉLENCHON,26.12,FI
1830,32207,MACRON,26.6,LRM
1840,32221,MACRON,21.94,LRM
1850,32229,FILLON,27.87,LR
1860,32237,MACRON,19.5,LRM
1870,32247,LE PEN,22.82,RN
1880,32279,MACRON,22.91,LRM
1890,32282,MÉLENCHON,23.0,FI
1900,32288,LE PEN,26.32,RN
1910,32298,LE PEN,20.34,RN
1920,32307,MACRON,22.44,LRM
1930,32312,MÉLENCHON,22.74,FI
1940,32316,MÉLENCHON,27.5,FI
1950,32331,MACRON,21.46,LRM
1960,32348,MACRON,24.04,LRM
1970,32356,MÉLENCHON,23.71,FI
1980,32359,MÉLENCHON,26.95,FI
1990,32379,LE PEN,20.78,RN
2000,32381,MÉLENCHON,18.36,FI
2010,32388,MACRON,20.83,LRM
2020,32399,FILLON,35.71,LR
2030,32406,LE PEN,23.3,RN
2040,32448,MÉLENCHON,21.96,FI
2050,32467,LE PEN,19.64,RN
2060,65051,MACRON,19.65,LRM
2070,65087,MÉLENCHON,33.33,FI
2080,65230,MACRON,19.28,LRM
2090,65287,LE PEN,17.13,RN
2100,65307,MACRON,22.03,LRM
2110,65407,LE PEN,19.35,RN
2120,65444,LE PEN,24.57,RN
2130,81004,MACRON,20.95,LRM
2140,81007,LE PEN,22.54,RN
2150,81008,LE PEN,18.35,RN
2160,81009,MÉLENCHON,24.19,FI
2170,81012,FILLON,24.24,LR
2180,81013,MACRON,17.39,LRM
2190,81018,MACRON,21.11,LRM
2200,81020,MACRON,25.94,LRM
2210,81029,LE PEN,29.93,RN
2220,81033,MÉLENCHON,23.65,FI
2230,81035,MACRON,24.85,LRM
2240,81038,LE PEN,20.04,RN
2250,81041,FILLON,26.26,LR
2260,81045,LE PEN,19.44,RN
2270,81046,MACRON,20.84,LRM
2280,81048,LE PEN,23.38,RN
2290,81051,MACRON,19.19,LRM
2300,81052,MACRON,26.32,LRM
2310,81056,LE PEN,25.96,RN
2320,81059,MACRON,19.45,LRM
2330,81060,MÉLENCHON,19.88,FI
2340,81061,LE PEN,20.25,RN
2350,81063,MACRON,19.73,LRM
2360,81064,MÉLENCHON,17.19,FI
2370,81067,MACRON,21.99,LRM
2380,81068,LE PEN,25.18,RN
2390,81069,MACRON,19.72,LRM
2400,81070,MÉLENCHON,21.07,FI
2410,81072,MACRON,22.52,LRM
2420,81074,MACRON,23.08,LRM
2430,81079,LE PEN,22.96,RN
2440,81080,FILLON,27.42,LR
2450,81087,MACRON,26.41,LRM
2460,81090,MACRON,22.45,LRM
2470,81093,MACRON,20.81,LRM
2480,81095,FILLON,33.33,LR
2490,81097,MACRON,20.13,LRM
2500,81099,MÉLENCHON,18.24,FI
2510,81101,MÉLENCHON,19.98,FI
2520,81102,MACRON,22.22,LRM
2530,81104,MACRON,19.35,LRM
2540,81106,MÉLENCHON,22.45,FI
2550,81108,MÉLENCHON,26.27,FI
2560,81111,FILLON,25.64,LR
2570,81112,MACRON,21.2,LRM
2580,81114,LE PEN,24.19,RN
2590,81122,MACRON,30.16,LRM
2600,81123,MACRON,23.08,LRM
2610,81131,MACRON,20.67,LRM
2620,81133,MACRON,21.69,LRM
2630,81141,MÉLENCHON,19.11,FI
2640,81144,MACRON,19.41,LRM
2650,81145,MÉLENCHON,19.42,FI
2660,81146,LE PEN,17.65,RN
2670,81148,FILLON,25.64,LR
2680,81149,MACRON,19.78,LRM
2690,81150,MÉLENCHON,24.65,FI
2700,81152,LE PEN,22.22,RN
2710,81154,MACRON,22.58,LRM
2720,81156,MACRON,21.74,LRM
2730,81164,MÉLENCHON,21.69,FI
2740,81165,MÉLENCHON,21.24,FI
2750,81166,FILLON,21.33,LR
2760,81168,MACRON,19.96,LRM
2770,81170,MÉLENCHON,19.61,FI
2780,81171,LE PEN,18.46,RN
2790,81172,FILLON,32.56,LR
2800,81176,MACRON,21.84,LRM
2810,81184,MACRON,29.41,LRM
2820,81186,MACRON,19.78,LRM
2830,81191,MACRON,19.52,LRM
2840,81197,LE PEN,20.0,RN
2850,81199,MACRON,19.05,LRM
2860,81201,MÉLENCHON,21.23,FI
2870,81202,MÉLENCHON,19.14,FI
2880,81211,LE PEN,25.26,RN
2890,81218,MACRON,21.79,LRM
2900,81220,MÉLENCHON,21.01,FI
2910,81224,MACRON,23.16,LRM
2920,81225,LE PEN,20.48,RN
2930,81228,MÉLENCHON,25.0,FI
2940,81230,MACRON,21.88,LRM
2950,81232,MACRON,24.95,LRM
2960,81234,MACRON,25.37,LRM
2970,81236,FILLON,20.53,LR
2980,81243,MÉLENCHON,28.04,FI
2990,81244,MÉLENCHON,24.68,FI
3000,81249,LE PEN,20.63,RN
3010,81254,MÉLENCHON,18.15,FI
3020,81255,MACRON,23.01,LRM
3030,81261,MÉLENCHON,20.85,FI
3040,81262,MACRON,19.6,LRM
3050,81263,MACRON,18.91,LRM
3060,81265,LE PEN,25.42,RN
3070,81271,MÉLENCHON,21.04,FI
3080,81274,MACRON,19.94,LRM
3090,81275,MÉLENCHON,27.43,FI
3100,81283,MACRON,19.26,LRM
3110,81284,MACRON,23.44,LRM
3120,81290,MÉLENCHON,17.52,FI
3130,81291,LE PEN,24.56,RN
3140,81292,MACRON,21.56,LRM
3150,81294,LE PEN,22.4,RN
3160,81297,MACRON,24.41,LRM
3170,81300,LE PEN,21.11,RN
3180,81302,MÉLENCHON,19.15,FI
3190,81304,MACRON,17.09,LRM
3200,81306,MACRON,21.69,LRM
3210,81309,MÉLENCHON,32.41,FI
3220,81313,MÉLENCHON,23.7,FI
3230,81316,LE PEN,17.42,RN
3231,81316,FILLON,17.42,LR
3240,81319,LE PEN,20.6,RN
3250,81320,LE PEN,22.3,RN
3260,81322,MACRON,20.86,LRM
3270,81326,MACRON,26.26,LRM
