,ville_id,ville_departement,ville_nom,ville_nom_simple,ville_nom_reel,ville_code_postal,ville_commune,ville_code_commune,ville_arrondissement,ville_canton,ville_amdi,ville_population_2010,ville_population_1999,ville_population_2012,ville_densite_2010,ville_surface,ville_longitude_deg,ville_latitude_deg,ville_zmax,ville_departement_cl,ville_nom_cl,ville_nom_simple_cl,ville_nom_reel_cl,ville_code_postal_cl,ville_commune_cl,ville_code_commune_cl,ville_arrondissement_cl,ville_canton_cl,ville_amdi_cl,ville_population_2010_cl,ville_population_1999_cl,ville_population_2012_cl,ville_densite_2010_cl,ville_surface_cl,ville_zmax_cl,objectid,id_rte500,nature,toponyme,type,codeuic,region,departement,date_maj,geo_shape,geo_point_2d,longitude,DISTANCE_GARE
0,11515,31,LUNAX,lunax,Lunax,31350,307,31307,2,06,6,60,56,100,11,5.1,0.683333,43.3333,298,31,LUNAX,lunax,Lunax,31350,307,31307,2,06,6,60,56,100,11,5.1,298,135,3035,Gare de voyageurs et de fret,Saint-Gaudens,gare avec accueil du public,87611137,Occitanie,31,2018-02-07T02:00:00+01:00,"{""type"": ""Point"", ""coordinates"": [0.729549584049205, 43.105047227517275]}","43.1050472275,0.729549584049",0.729549584049,25.65553024001165
1,11516,31,FONTENILLES,fontenilles,Fontenilles,31470,188,31188,1,30,6,4505,2920,3900,222,20.22,1.2,43.55,280,31,FONTENILLES,fontenilles,Fontenilles,31470,188,31188,1,30,6,4505,2920,3900,222,20.22,280,201,3669,Gare de voyageurs,Brax-Léguevin,halte ferroviaire,87611822,Occitanie,31,2018-02-07T02:00:00+01:00,"{""type"": ""Point"", ""coordinates"": [1.236828498137779, 43.61478244304039]}","43.614782443,1.23682849814",1.23682849814,7.790452997325855
2,11517,31,ARBON,arbon,Arbon,31160,012,31012,2,01,6,92,76,100,20,4.47,0.75,43.0,896,31,ARBON,arbon,Arbon,31160,012,31012,2,01,6,92,76,100,20,4.47,896,245,4233,Gare de voyageurs,Saléchan-Siradan,halte ferroviaire,87618710,Occitanie,65,2018-02-07T02:00:00+01:00,"{""type"": ""Point"", ""coordinates"": [0.6316603800696861, 42.96307058361676]}","42.9630705836,0.63166038007",0.63166038007,10.465834372036376
3,11518,31,LOUDET,loudet,Loudet,31580,305,31305,2,22,6,206,218,200,40,5.13,0.566667,43.15,525,31,LOUDET,loudet,Loudet,31580,305,31305,2,22,6,206,218,200,40,5.13,525,95,2560,Gare de voyageurs et de fret,Montréjeau-Gourdan-Polignan,gare avec accueil du public,87611152,Occitanie,31,2018-02-07T02:00:00+01:00,"{""type"": ""Point"", ""coordinates"": [0.573509109825181, 43.078043757479904]}","43.0780437575,0.573509109825",0.573509109825,8.020590615908533
4,11519,31,CASTILLON-DE-LARBOUST,castillon de larboust,Castillon-de-Larboust,31110,123,31123,2,04,6,65,83,100,3,20.67,0.533333,42.8,3110,31,CASTILLON-DE-LARBOUST,castillon de larboust,Castillon-de-Larboust,31110,123,31123,2,04,6,65,83,100,3,20.67,3110,60,2222,Gare de voyageurs,Luchon,gare avec accueil du public,87611236,Occitanie,31,2018-02-07T02:00:00+01:00,"{""type"": ""Point"", ""coordinates"": [0.596599645992219, 42.79711079685333]}","42.7971107969,0.596599645992",0.596599645992,5.171840949324193
5,11520,31,SAINT-AVENTIN,saint aventin,Saint-Aventin,31110,470,31470,2,04,6,87,96,100,5,17.4,0.55,42.8167,2676,31,SAINT-AVENTIN,saint aventin,Saint-Aventin,31110,470,31470,2,04,6,87,96,100,5,17.4,2676,60,2222,Gare de voyageurs,Luchon,gare avec accueil du public,87611236,Occitanie,31,2018-02-07T02:00:00+01:00,"{""type"": ""Point"", ""coordinates"": [0.596599645992219, 42.79711079685333]}","42.7971107969,0.596599645992",0.596599645992,4.381329541907089
6,11521,31,GENSAC-SUR-GARONNE,gensac sur garonne,Gensac-sur-Garonne,31310,219,31219,1,27,6,346,264,300,34,10.14,1.13333,43.2167,380,31,GENSAC-SUR-GARONNE,gensac sur garonne,Gensac-sur-Garonne,31310,219,31219,1,27,6,346,264,300,34,10.14,380,51,2088,Gare de voyageurs et de fret,Cazères-sur-Garonne,gare avec accueil du public,87611079,Occitanie,31,2018-02-07T02:00:00+01:00,"{""type"": ""Point"", ""coordinates"": [1.082328231024797, 43.21275999867374]}","43.2127599987,1.08232823102",1.08232823102,4.156254956890653
7,11522,31,PIN-BALMA,pin balma,Pin-Balma,31130,418,31418,3,43,6,887,655,900,133,6.63,1.53333,43.6333,231,31,PIN-BALMA,pin balma,Pin-Balma,31130,418,31418,3,43,6,887,655,900,133,6.63,231,4,1457,Gare de voyageurs,Montrabé,halte ferroviaire,87611848,Occitanie,31,2018-02-07T02:00:00+01:00,"{""type"": ""Point"", ""coordinates"": [1.523367876280338, 43.645245668804705]}","43.6452456688,1.52336787628",1.52336787628,1.5513903530397442
8,11523,31,AUSSEING,ausseing,Ausseing,31260,030,31030,2,32,6,72,61,100,12,5.88,1.01667,43.15,613,31,AUSSEING,ausseing,Ausseing,31260,030,31030,2,32,6,72,61,100,12,5.88,613,130,3004,Gare de voyageurs et de fret,Boussens,gare avec accueil du public,87611095,Occitanie,31,2018-02-07T02:00:00+01:00,"{""type"": ""Point"", ""coordinates"": [0.972365017775709, 43.179858698317986]}","43.1798586983,0.972365017776",0.972365017776,4.892250290691988
9,11524,31,SEGREVILLE,segreville,Ségreville,31460,540,31540,3,08,6,213,144,200,42,4.97,1.73333,43.5,272,31,SEGREVILLE,segreville,Ségreville,31460,540,31540,3,08,6,213,144,200,42,4.97,272,4,1457,Gare de voyageurs,Montrabé,halte ferroviaire,87611848,Occitanie,31,2018-02-07T02:00:00+01:00,"{""type"": ""Point"", ""coordinates"": [1.523367876280338, 43.645245668804705]}","43.6452456688,1.52336787628",1.52336787628,23.38693473317158
10,11525,31,TARABEL,tarabel,Tarabel,31570,551,31551,3,17,6,355,373,300,47,7.42,1.66667,43.5167,252,31,TARABEL,tarabel,Tarabel,31570,551,31551,3,17,6,355,373,300,47,7.42,252,4,1457,Gare de voyageurs,Montrabé,halte ferroviaire,87611848,Occitanie,31,2018-02-07T02:00:00+01:00,"{""type"": ""Point"", ""coordinates"": [1.523367876280338, 43.645245668804705]}","43.6452456688,1.52336787628",1.52336787628,18.372386962549545
11,11526,31,SEILH,seilh,Seilh,31840,541,31541,3,15,6,3065,2086,3000,497,6.16,1.35,43.7,145,31,SEILH,seilh,Seilh,31840,541,31541,3,15,6,3065,2086,3000,497,6.16,145,202,3670,Gare de voyageurs,Pibrac,halte ferroviaire,87611830,Occitanie,31,2018-02-07T02:00:00+01:00,"{""type"": ""Point"", ""coordinates"": [1.289186958985653, 43.621496300996036]}","43.621496301,1.28918695899",1.28918695899,10.006601878708842
12,11527,31,ROQUES,roques,Roques,31120,458,31458,1,52,6,3850,2988,3700,413,9.3,1.375,43.5083,164,31,ROQUES,roques,Roques,31120,458,31458,1,52,6,3850,2988,3700,413,9.3,164,96,2563,Gare de voyageurs et de fret,Muret,gare avec accueil du public,87611038,Occitanie,31,2018-02-07T02:00:00+01:00,"{""type"": ""Point"", ""coordinates"": [1.324296976408045, 43.46495862238188]}","43.4649586224,1.32429697641",1.32429697641,6.3213238885851455
13,11528,31,BRAGAYRAC,bragayrac,Bragayrac,31470,087,31087,1,30,6,272,250,300,32,8.25,1.06667,43.4833,326,31,BRAGAYRAC,bragayrac,Bragayrac,31470,087,31087,1,30,6,272,250,300,32,8.25,326,46,2064,Gare de voyageurs,L'Isle-Jourdain,gare avec accueil du public,87611806,Occitanie,32,2018-02-07T02:00:00+01:00,"{""type"": ""Point"", ""coordinates"": [1.08970450764238, 43.61731141961547]}","43.6173114196,1.08970450764",1.08970450764,15.016657507901897
14,11529,31,BOUDRAC,boudrac,Boudrac,31580,078,31078,2,22,6,131,122,100,11,11.64,0.55,43.2,564,31,BOUDRAC,boudrac,Boudrac,31580,078,31078,2,22,6,131,122,100,11,11.64,564,95,2560,Gare de voyageurs et de fret,Montréjeau-Gourdan-Polignan,gare avec accueil du public,87611152,Occitanie,31,2018-02-07T02:00:00+01:00,"{""type"": ""Point"", ""coordinates"": [0.573509109825181, 43.078043757479904]}","43.0780437575,0.573509109825",0.573509109825,13.694497420956663
15,11530,31,ESTENOS,estenos,Esténos,31440,176,31176,2,28,6,185,167,200,54,3.41,0.633333,42.95,1467,31,ESTENOS,estenos,Esténos,31440,176,31176,2,28,6,185,167,200,54,3.41,1467,245,4233,Gare de voyageurs,Saléchan-Siradan,halte ferroviaire,87618710,Occitanie,65,2018-02-07T02:00:00+01:00,"{""type"": ""Point"", ""coordinates"": [0.6316603800696861, 42.96307058361676]}","42.9630705836,0.63166038007",0.63166038007,1.4596585770062764
16,11531,31,MIREPOIX-SUR-TARN,mirepoix sur tarn,Mirepoix-sur-Tarn,31340,346,31346,3,39,6,701,537,700,128,5.46,1.58333,43.8167,221,31,MIREPOIX-SUR-TARN,mirepoix sur tarn,Mirepoix-sur-Tarn,31340,346,31346,3,39,6,701,537,700,128,5.46,221,225,3954,Gare de voyageurs,Roquesérière-Buzet,halte ferroviaire,87615351,Occitanie,31,2018-02-07T02:00:00+01:00,"{""type"": ""Point"", ""coordinates"": [1.618722807104374, 43.75080440182248]}","43.7508044018,1.6187228071",1.6187228071,7.858841729359567
17,11532,31,JUZES,juzes,Juzes,31540,243,31243,3,25,6,80,84,100,21,3.75,1.8,43.45,251,31,JUZES,juzes,Juzes,31540,243,31243,3,25,6,80,84,100,21,3.75,251,4,1457,Gare de voyageurs,Montrabé,halte ferroviaire,87611848,Occitanie,31,2018-02-07T02:00:00+01:00,"{""type"": ""Point"", ""coordinates"": [1.523367876280338, 43.645245668804705]}","43.6452456688,1.52336787628",1.52336787628,31.11909471308356
18,11533,31,SALIES-DU-SALAT,salies du salat,Salies-du-Salat,31260,523,31523,2,32,5,1998,1946,1900,293,6.81,0.95,43.1167,428,31,SALIES-DU-SALAT,salies du salat,Salies-du-Salat,31260,523,31523,2,32,5,1998,1946,1900,293,6.81,428,198,3661,Gare de voyageurs,Saint-Martory,halte ferroviaire,87611103,Occitanie,31,2018-02-07T02:00:00+01:00,"{""type"": ""Point"", ""coordinates"": [0.933950043202397, 43.13843485585285]}","43.1384348559,0.933950043202",0.933950043202,2.745525711339987
19,11534,31,SOUEICH,soueich,Soueich,31160,550,31550,2,01,6,542,502,500,47,11.33,0.783333,43.05,700,31,SOUEICH,soueich,Soueich,31160,550,31550,2,01,6,542,502,500,47,11.33,700,135,3035,Gare de voyageurs et de fret,Saint-Gaudens,gare avec accueil du public,87611137,Occitanie,31,2018-02-07T02:00:00+01:00,"{""type"": ""Point"", ""coordinates"": [0.729549584049205, 43.105047227517275]}","43.1050472275,0.729549584049",0.729549584049,7.519930404391157
20,11535,31,BEAUZELLE,beauzelle,Beauzelle,31700,056,31056,3,51,6,5179,5375,5100,1171,4.42,1.36667,43.6667,145,31,BEAUZELLE,beauzelle,Beauzelle,31700,056,31056,3,51,6,5179,5375,5100,1171,4.42,145,202,3670,Gare de voyageurs,Pibrac,halte ferroviaire,87611830,Occitanie,31,2018-02-07T02:00:00+01:00,"{""type"": ""Point"", ""coordinates"": [1.289186958985653, 43.621496300996036]}","43.621496301,1.28918695899",1.28918695899,8.008403635061354
21,11536,31,SAUVETERRE-DE-COMMINGES,sauveterre de comminges,Sauveterre-de-Comminges,31510,535,31535,2,05,6,720,720,700,23,30.52,0.667778,43.0334,1031,31,SAUVETERRE-DE-COMMINGES,sauveterre de comminges,Sauveterre-de-Comminges,31510,535,31535,2,05,6,720,720,700,23,30.52,1031,244,4232,Gare de voyageurs,Loures-Barbazan,halte ferroviaire,87611178,Occitanie,65,2018-02-07T02:00:00+01:00,"{""type"": ""Point"", ""coordinates"": [0.6104470007246681, 43.02112626030632]}","43.0211262603,0.610447000725",0.610447000725,4.856027526777145
22,11537,31,PORTET-DE-LUCHON,portet de luchon,Portet-de-Luchon,31110,432,31432,2,04,6,28,32,0,6,4.11,0.5,42.8,1928,31,PORTET-DE-LUCHON,portet de luchon,Portet-de-Luchon,31110,432,31432,2,04,6,28,32,0,6,4.11,1928,60,2222,Gare de voyageurs,Luchon,gare avec accueil du public,87611236,Occitanie,31,2018-02-07T02:00:00+01:00,"{""type"": ""Point"", ""coordinates"": [0.596599645992219, 42.79711079685333]}","42.7971107969,0.596599645992",0.596599645992,7.888004188732852
23,11538,31,GRAGNAGUE,gragnague,Gragnague,31380,228,31228,3,37,6,1772,1437,1600,135,13.04,1.58333,43.6833,233,31,GRAGNAGUE,gragnague,Gragnague,31380,228,31228,3,37,6,1772,1437,1600,135,13.04,233,248,4242,Gare de voyageurs,Gragnague,halte ferroviaire,87615377,Occitanie,31,2018-02-07T02:00:00+01:00,"{""type"": ""Point"", ""coordinates"": [1.567583753457248, 43.696509173496935]}","43.6965091735,1.56758375346",1.56758375346,1.9391384186149878
24,11539,31,LACAUGNE,lacaugne,Lacaugne,31390,258,31258,1,27,6,198,168,200,32,6.06,1.26667,43.2833,333,31,LACAUGNE,lacaugne,Lacaugne,31390,258,31258,1,27,6,198,168,200,32,6.06,333,269,4506,Gare de voyageurs et de fret,Carbonne,gare avec accueil du public,87611061,Occitanie,31,2018-02-07T02:00:00+01:00,"{""type"": ""Point"", ""coordinates"": [1.212611680839952, 43.29853121822802]}","43.2985312182,1.21261168084",1.21261168084,4.691720015162268
25,11540,31,LESTELLE-DE-SAINT-MARTORY,lestelle de saint martory,Lestelle-de-Saint-Martory,31360,296,31296,2,31,6,445,378,400,47,9.4,0.916667,43.1333,410,31,LESTELLE-DE-SAINT-MARTORY,lestelle de saint martory,Lestelle-de-Saint-Martory,31360,296,31296,2,31,6,445,378,400,47,9.4,410,198,3661,Gare de voyageurs,Saint-Martory,halte ferroviaire,87611103,Occitanie,31,2018-02-07T02:00:00+01:00,"{""type"": ""Point"", ""coordinates"": [0.933950043202397, 43.13843485585285]}","43.1384348559,0.933950043202",0.933950043202,1.5141398675025322
26,11541,31,SAINT-GAUDENS,saint gaudens,Saint-Gaudens,31800,483,31483,2,29,4,11248,10837,11700,411,27.35,0.733333,43.1167,558,31,SAINT-GAUDENS,saint gaudens,Saint-Gaudens,31800,483,31483,2,29,4,11248,10837,11700,411,27.35,558,135,3035,Gare de voyageurs et de fret,Saint-Gaudens,gare avec accueil du public,87611137,Occitanie,31,2018-02-07T02:00:00+01:00,"{""type"": ""Point"", ""coordinates"": [0.729549584049205, 43.105047227517275]}","43.1050472275,0.729549584049",0.729549584049,1.3315452199464246
27,11542,31,LACROIX-FALGARDE,lacroix falgarde,Lacroix-Falgarde,31120,259,31259,3,10,6,2028,1485,2000,333,6.09,1.41667,43.5,254,31,LACROIX-FALGARDE,lacroix falgarde,Lacroix-Falgarde,31120,259,31259,3,10,6,2028,1485,2000,333,6.09,254,96,2563,Gare de voyageurs et de fret,Muret,gare avec accueil du public,87611038,Occitanie,31,2018-02-07T02:00:00+01:00,"{""type"": ""Point"", ""coordinates"": [1.324296976408045, 43.46495862238188]}","43.4649586224,1.32429697641",1.32429697641,8.409874986677199
28,11543,31,LEZ,lez,Lez,31440,298,31298,2,28,6,62,67,100,23,2.6,0.7,42.9167,1180,31,LEZ,lez,Lez,31440,298,31298,2,28,6,62,67,100,23,2.6,1180,194,3655,Gare de voyageurs,Marignac-Saint-Béat,halte ferroviaire,87611194,Occitanie,31,2018-02-07T02:00:00+01:00,"{""type"": ""Point"", ""coordinates"": [0.65216413133632, 42.91575736817547]}","42.9157573682,0.652164131336",0.652164131336,3.8968518372515244
29,11544,31,VIGOULET-AUZIL,vigoulet auzil,Vigoulet-Auzil,31320,578,31578,3,10,6,944,989,1000,272,3.46,1.46667,43.5,262,31,VIGOULET-AUZIL,vigoulet auzil,Vigoulet-Auzil,31320,578,31578,3,10,6,944,989,1000,272,3.46,262,96,2563,Gare de voyageurs et de fret,Muret,gare avec accueil du public,87611038,Occitanie,31,2018-02-07T02:00:00+01:00,"{""type"": ""Point"", ""coordinates"": [1.324296976408045, 43.46495862238188]}","43.4649586224,1.32429697641",1.32429697641,12.129707888504887
